"k","Score","Time (seconds)","Best Cluster (k)","run","var"
2,0.36241130519289,9.42600000000675," ",15,0.2
3,0.00167677770996348,9.95600000000559,"BEST",15,0.2
4,0.0625699581944715,9.17699999999604," ",15,0.2
5,0.127967242972062,8.63099999999395," ",15,0.2
2,0.360752278544453,9.64599999997881," ",16,0.2
3,0.00167447773455959,9.61699999999837,"BEST",16,0.2
4,0.0644829886610216,9.14199999999255," ",16,0.2
5,0.127466391827421,8.92599999997765," ",16,0.2
2,0.35131430693077,10.064000000013," ",17,0.2
3,0.00167305866510894,9.05800000001909,"BEST",17,0.2
4,0.0615888562812807,9.21799999999348," ",17,0.2
5,0.128370136006614,8.11300000001211," ",17,0.2
2,0.352012816806863,9.21799999999348," ",18,0.2
3,0.00166893513111522,8.88000000000466,"BEST",18,0.2
4,0.0604102387666316,8.30099999997765," ",18,0.2
5,0.122596020932235,8.09599999999045," ",18,0.2
2,0.329220174037596,9.80999999999767," ",19,0.2
3,0.00166240232960373,8.91000000000349,"BEST",19,0.2
4,0.0592968704224931,10.5540000000037," ",19,0.2
5,0.119110536154251,8.59700000000885," ",19,0.2
2,0.328961928982553,9.26399999999558," ",20,0.2
3,0.00166252472650844,8.84400000001187,"BEST",20,0.2
4,0.0605619516165957,8.3409999999858," ",20,0.2
5,0.118029028731085,8.03600000002189," ",20,0.2
2,0.292910962195083,8.89100000000326," ",21,0.2
3,0.0016699489377941,8.63300000000163,"BEST",21,0.2
4,0.0602252250353576,7.99199999999837," ",21,0.2
5,0.120893299988151,7.62799999999697," ",21,0.2
2,0.293301011273724,8.2039999999979," ",22,0.2
3,0.00167781869268819,8.46700000000419,"BEST",22,0.2
4,0.0603450631171548,7.98199999998906," ",22,0.2
5,0.117404853674941,7.74700000000303," ",22,0.2
2,0.314095802344272,8.60099999999511," ",23,0.2
3,0.00168476584014645,8.54200000001583,"BEST",23,0.2
4,0.059603760767645,7.99700000000303," ",23,0.2
5,0.117278286453407,7.83499999999185," ",23,0.2
2,0.279514368959708,8.38699999998789," ",24,0.2
3,0.00167387285710127,8.47500000000582,"BEST",24,0.2
4,0.0595723600174927,8.27199999999721," ",24,0.2
5,0.11872669441366,7.96800000002258," ",24,0.2
2,0.27911893135009,8.47399999998743," ",25,0.2
3,0.00167645595283165,8.4089999999851,"BEST",25,0.2
4,0.0584252856298922,8.30099999997765," ",25,0.2
5,0.116796714793526,7.83100000000559," ",25,0.2
2,0.260678010825414,8.32600000000093," ",1,0.5
3,0.00858257770899711,8.4550000000163,"BEST",1,0.5
4,0.0806111785065291,8.12799999999697," ",1,0.5
5,0.130359185895154,7.7160000000149," ",1,0.5
2,0.259722129560089,8.69500000000698," ",2,0.5
3,0.00738412449354147,8.43600000001607,"BEST",2,0.5
4,0.0824378761790529,8.41099999999278," ",2,0.5
5,0.132100220222719,7.68299999998999," ",2,0.5
2,0.259666411088859,8.61799999998766," ",3,0.5
3,0.00822798913421148,8.84200000000419,"BEST",3,0.5
4,0.0820561913131067,8.00500000000466," ",3,0.5
5,0.131098799360754,7.87100000001374," ",3,0.5
2,0.259979006226029,8.78700000001118," ",4,0.5
3,0.00732696660361811,8.55900000000838,"BEST",4,0.5
4,0.080628710840816,8.30500000002212," ",4,0.5
5,0.131198372197881,7.67800000001444," ",4,0.5
2,0.261330271880245,8.63000000000466," ",5,0.5
3,0.00855512235125239,8.47599999999511,"BEST",5,0.5
4,0.0808061966035586,8.06600000002072," ",5,0.5
5,0.129214986292688,7.81299999999464," ",5,0.5
2,0.268584011356412,8.52900000000955," ",6,0.5
3,0.00792351799527118,8.66099999999278,"BEST",6,0.5
4,0.080787059570802,8.63299999997253," ",6,0.5
5,0.129150988973572,7.79300000000512," ",6,0.5
2,0.267458304137309,8.44700000001467," ",7,0.5
3,0.00848467393850119,8.64100000000326,"BEST",7,0.5
4,0.0797575748287265,8.01399999999558," ",7,0.5
5,0.128794218946138,7.88699999998789," ",7,0.5
2,0.266326012808274,8.4890000000014," ",8,0.5
3,0.00794894225746163,8.47599999999511,"BEST",8,0.5
4,0.0811427014594236,8.12099999998463," ",8,0.5
5,0.127548763965549,7.8070000000007," ",8,0.5
2,0.248125657438377,8.36199999999371," ",9,0.5
3,0.00739331807683718,8.4890000000014,"BEST",9,0.5
4,0.0811957604341052,8.03299999999581," ",9,0.5
5,0.127645815063915,8.02000000001863," ",9,0.5
2,0.252893587040098,8.36199999999371," ",10,0.5
3,0.00663488908212463,8.42800000001444,"BEST",10,0.5
4,0.0806060434906251,8.08999999999651," ",10,0.5
5,0.129130825477381,7.66200000001118," ",10,0.5
2,0.234752217730893,8.35000000000582," ",11,0.5
3,0.0066219473878413,8.40100000001257,"BEST",11,0.5
4,0.0805632092521111,7.99400000000605," ",11,0.5
5,0.130156074927783,8.52600000001257," ",11,0.5
2,0.21107327582161,8.36100000000442," ",12,0.5
3,0.00677989582454194,8.53299999999581,"BEST",12,0.5
4,0.0810002507258394,8.10500000001048," ",12,0.5
5,0.130350731687253,7.65600000001723," ",12,0.5
2,0.211566963666425,8.57500000001164," ",13,0.5
3,0.00677079578117633,8.51800000001094,"BEST",13,0.5
4,0.0812796741842317,8.39199999999255," ",13,0.5
5,0.128028400162137,7.63099999999395," ",13,0.5
2,0.223506041507403,8.28099999998813," ",14,0.5
3,0.00652835095185109,8.47299999999814,"BEST",14,0.5
4,0.0800702384234225,8.12299999999232," ",14,0.5
5,0.128049436961129,7.61099999997532," ",14,0.5
2,0.243022678600082,8.39499999998952," ",15,0.5
3,0.00583922210568007,8.47500000000582,"BEST",15,0.5
4,0.0799796954860715,8.03800000000047," ",15,0.5
5,0.127014130761314,7.89299999998184," ",15,0.5
2,0.244835176643506,8.30799999998999," ",16,0.5
3,0.00625941508606058,8.47400000001653,"BEST",16,0.5
4,0.0801488479688868,8.14199999999255," ",16,0.5
5,0.124975492818073,7.60899999999674," ",16,0.5
2,0.225967002333313,8.33199999999488," ",17,0.5
3,0.00625016706075994,8.5,"BEST",17,0.5
4,0.0795669341793516,8.16800000000512," ",17,0.5
5,0.126001787184745,7.83200000002398," ",17,0.5
2,0.246845963487909,8.41399999998976," ",18,0.5
3,0.00635158280286085,8.43899999998393,"BEST",18,0.5
4,0.0808574307286283,8.21199999999953," ",18,0.5
5,0.127707515581673,7.59799999999814," ",18,0.5
2,0.250062752851411,8.38000000000466," ",19,0.5
3,0.0060001462478933,8.45300000000861,"BEST",19,0.5
4,0.0823364918351108,8.02799999999115," ",19,0.5
5,0.127648605000988,7.625," ",19,0.5
2,0.24986579738682,8.28099999998813," ",20,0.5
3,0.00577417548859628,8.47000000000116,"BEST",20,0.5
4,0.0832003060462615,8.05600000001141," ",20,0.5
5,0.126643959364994,7.68799999999464," ",20,0.5
2,0.247145850273896,8.54399999999441," ",21,0.5
